#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-10-19
# Final Processing Time: 10:45:14
# Spline RMSE gcc_mean: 0.00387
# Spline RMSE gcc_50: 0.00395
# Spline RMSE gcc_75: 0.00394
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,falling,gcc_75,2015-10-18,2015-10-14,2015-10-07,2015-10-21,2015-10-15,2015-10-09,2015-10-16,2015-10-12,2015-10-05,0.32846,0.34118,0.36915,0.31934,0.41743
harvardbarn2,DB,1000,falling,gcc_75,2014-10-19,2014-10-15,2014-10-10,2014-10-20,2014-10-16,2014-10-11,2014-10-16,2014-10-13,2014-10-09,0.3092,0.3246,0.3532,0.30221,0.40305
harvardbarn2,DB,1000,falling,gcc_75,2013-10-10,2013-10-02,2013-09-21,2013-10-13,2013-10-05,2013-09-25,2013-10-06,2013-09-29,2013-09-19,0.32738,0.34081,0.36548,0.31842,0.40942
harvardbarn2,DB,1000,falling,gcc_75,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-01,2012-10-08,2012-10-04,2012-09-26,0.32347,0.33445,0.35558,0.31777,0.39228
harvardbarn2,DB,1000,falling,gcc_50,2019-10-18,2019-10-15,2019-10-08,2019-10-20,2019-10-16,2019-10-10,2019-10-16,2019-10-13,2019-10-06,0.30577,0.3188,0.35189,0.29607,0.4044
harvardbarn2,DB,1000,falling,gcc_50,2018-10-28,2018-10-23,2018-10-09,2018-10-29,2018-10-26,2018-10-13,2018-10-26,2018-10-18,2018-10-07,0.32324,0.33753,0.3608,0.31813,0.40065
harvardbarn2,DB,1000,falling,gcc_50,2017-10-24,2017-10-18,2017-10-06,2017-10-26,2017-10-19,2017-10-11,2017-10-21,2017-10-15,2017-09-27,0.31705,0.33336,0.36402,0.30778,0.41992
harvardbarn2,DB,1000,falling,gcc_50,2016-10-21,2016-10-17,2016-10-09,2016-10-23,2016-10-18,2016-10-12,2016-10-19,2016-10-15,2016-10-08,0.31706,0.32979,0.36055,0.30726,0.4083
harvardbarn2,DB,1000,falling,gcc_50,2015-10-18,2015-10-13,2015-10-06,2015-10-21,2015-10-15,2015-10-08,2015-10-15,2015-10-11,2015-10-04,0.3248,0.33878,0.36536,0.31603,0.41059
harvardbarn2,DB,1000,falling,gcc_50,2014-10-18,2014-10-14,2014-10-08,2014-10-19,2014-10-15,2014-10-10,2014-10-16,2014-10-12,2014-10-06,0.30712,0.32264,0.352,0.29911,0.40221
harvardbarn2,DB,1000,falling,gcc_50,2013-10-11,2013-10-02,2013-09-21,2013-10-13,2013-10-04,2013-09-25,2013-10-05,2013-09-29,2013-09-18,0.32254,0.33614,0.36048,0.31528,0.40284
harvardbarn2,DB,1000,falling,gcc_50,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-02,2012-10-09,2012-10-04,2012-09-26,0.32009,0.33089,0.35039,0.31481,0.38437
harvardbarn2,DB,1000,falling,gcc_mean,2019-10-19,2019-10-15,2019-10-08,2019-10-20,2019-10-16,2019-10-10,2019-10-16,2019-10-13,2019-10-07,0.30111,0.31837,0.35152,0.29352,0.4042
harvardbarn2,DB,1000,falling,gcc_mean,2018-10-29,2018-10-26,2018-10-11,2018-10-30,2018-10-28,2018-10-15,2018-10-27,2018-10-23,2018-10-09,0.31679,0.33068,0.35493,0.30888,0.39851
harvardbarn2,DB,1000,falling,gcc_mean,2017-10-24,2017-10-18,2017-10-05,2017-10-26,2017-10-19,2017-10-11,2017-10-21,2017-10-16,2017-09-28,0.31564,0.33257,0.36181,0.30655,0.41616
harvardbarn2,DB,1000,falling,gcc_mean,2016-10-22,2016-10-17,2016-10-10,2016-10-23,2016-10-18,2016-10-12,2016-10-19,2016-10-15,2016-10-09,0.31456,0.33009,0.35859,0.30648,0.40827
harvardbarn2,DB,1000,falling,gcc_mean,2015-10-18,2015-10-13,2015-10-06,2015-10-21,2015-10-15,2015-10-08,2015-10-15,2015-10-11,2015-10-05,0.32418,0.33787,0.36438,0.31529,0.40783
harvardbarn2,DB,1000,falling,gcc_mean,2014-10-18,2014-10-14,2014-10-08,2014-10-20,2014-10-15,2014-10-10,2014-10-16,2014-10-12,2014-10-07,0.30653,0.32232,0.35268,0.29749,0.39991
harvardbarn2,DB,1000,falling,gcc_mean,2013-10-11,2013-10-02,2013-09-21,2013-10-13,2013-10-05,2013-09-25,2013-10-07,2013-09-29,2013-09-18,0.32121,0.33529,0.35777,0.31382,0.4001
harvardbarn2,DB,1000,falling,gcc_mean,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-01,2012-10-09,2012-10-04,2012-09-26,0.31921,0.32964,0.34821,0.31299,0.38341
